Hobby-name,Type,Likely Gender,Likely Age Groups
Flower collecting and pressing,Outdoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Fossil hunting,Outdoor Collection hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Insect collecting,Outdoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Leaves collecting,Outdoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Magnet fishing,Outdoor Collection hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Metal detecting,Outdoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Mineral collecting,Outdoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Rock balancing,Outdoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Sea glass collecting,Outdoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Seashell collecting,Outdoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Stone collecting,Outdoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Air hockey,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Axe throwing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Backgammon,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Badminton,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Baking,Indoor Competitive hobby,Female,"Child (5-12), Teen (13-18), Adult (31-50), Senior (51-80)"
Ballet dancing,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Ballroom dancing,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Baton twirling,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Beauty pageants,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Billiards,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Book folding,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Bowling,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Boxing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Bridge,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Cooking,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Checkers (draughts),Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Cheerleading,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Chess,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Color guard,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Cribbage,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Curling,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dancing,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Darts,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Debate,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dominoes,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Eating,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Esports,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Fencing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Figure Skating,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Go,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Gymnastics,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Ice hockey,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Ice skating,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Judo,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Jujitsu,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Kabaddi,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Knowledge/word games,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Laser tag,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Magic,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Mahjong,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Marbles,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Martial arts,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Model racing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Model United Nations,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Pinball,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Poker,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Pole dancing,Indoor Competitive hobby,Prefer not to say,"Young Adult (19-30), Adult (31-50)"
Pool,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Radio-controlled model playing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Role-playing games,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Rughooking,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Shogi,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Slot car racing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Speedcubing,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sport stacking,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Table football,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Table tennis,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Volleyball,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Video gaming,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
VR gaming,Indoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Weightlifting,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Wrestling,Indoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Airsoft,Outdoor Competitive hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Archery,Outdoor Competitive hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Association football,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Australian rules football,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Auto racing,Outdoor Competitive hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Baseball,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Beach volleyball,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Breakdancing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
capoeira,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Climbing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Cornhole,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Cricket,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Croquet,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Cycling,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Disc golf,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dog sport,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Equestrianism,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Exhibition drill,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Field hockey,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Figure skating,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Fishing,Outdoor Competitive hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Fitness,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Footbag,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Frisbee,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Rugby league football,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sculling or rowing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Shooting sports,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Skateboarding,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Skiing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Softball,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Speed skating,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Squash,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Surfing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Swimming,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Table tennis,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tennis,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tennis polo,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tether car,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tour skating,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tourism,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Trapshooting,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Triathlon,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Ultimate frisbee,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Volleyball,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Water polo,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Golfing,Outdoor Competitive hobby,Prefer not to say,"Young Adult (19-30), Adult (31-50)"
Handball,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Horseback riding,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Horsemanship,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Horseshoes,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Iceboat racing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Jukskei,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Kart racing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Knife throwing,Outdoor Competitive hobby,Prefer not to say,"Young Adult (19-30), Adult (31-50)"
Lacrosse,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Longboarding,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Long-distance running,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Marching band,Outdoor Competitive hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Mini Golf,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Model aircraft,Outdoor Competitive hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Orienteering,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Pickleball,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Powerboat racing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Quidditch,Outdoor Competitive hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Race walking,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Racquetball,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Radio-controlled car racing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Radio-controlled model playing,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Roller derby,Outdoor Competitive hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Audiophile,Indoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Ant farming,Indoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Fishkeeping,Indoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Learning,Indoor Observation hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Meditation,Indoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Microscopy,Indoor Observation hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Reading,Indoor Observation hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Research,Indoor Observation hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Shortwave listening,Indoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Aircraft spotting,Outdoor Observation hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Amateur astronomy,Outdoor Observation hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Beekeeping,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Benchmarking,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Birdwatching,Outdoor Observation hobby,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
People-watching,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Photography,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Satellite watching,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Trainspotting,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Whale watching,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Butterfly watching,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Geocaching,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Gongoozling,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Herping,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Hiking/backpacking,Outdoor Observation hobby,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Meteorology,Outdoor Observation hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
